MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,MoSold,YrSold,SaleType,SaleCondition,SalePrice,RoomsAndArea
60,RL,65.0,8450,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,7,5,20,2003,Gable,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,No,GLQ,706,150,856,Ex,Y,SBrkr,856,854,1,2,1,3,Gd,0,Attchd,20.0,RFn,548,Y,0,61,0,0,2,2008,WD,Normal,208500,13680
20,RL,80.0,9600,Pave,Reg,Lvl,FR2,Gtl,Veenker,Feedr,1Fam,1Story,6,8,47,1976,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,Gd,ALQ,978,284,1262,Ex,Y,SBrkr,1262,0,0,2,0,3,TA,1,Attchd,47.0,RFn,460,Y,298,0,0,0,5,2007,WD,Normal,181500,7572
60,RL,68.0,11250,Pave,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,7,5,22,2002,Gable,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,Mn,GLQ,486,434,920,Ex,Y,SBrkr,920,866,1,2,1,3,Gd,1,Attchd,22.0,RFn,608,Y,0,42,0,0,9,2008,WD,Normal,223500,10716
70,RL,60.0,9550,Pave,IR1,Lvl,Corner,Gtl,Crawfor,Norm,1Fam,2Story,7,5,108,1970,Gable,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,No,ALQ,216,540,756,Gd,Y,SBrkr,961,756,1,1,0,3,Gd,1,Detchd,25.0,Unf,642,Y,0,35,272,0,2,2006,WD,Abnorml,140000,12019
60,RL,84.0,14260,Pave,IR1,Lvl,FR2,Gtl,NoRidge,Norm,1Fam,2Story,8,5,23,2000,Gable,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,Av,GLQ,655,490,1145,Ex,Y,SBrkr,1145,1053,1,2,1,4,Gd,1,Attchd,23.0,RFn,836,Y,192,84,0,0,12,2008,WD,Normal,250000,19782
50,RL,85.0,14115,Pave,IR1,Lvl,Inside,Gtl,Mitchel,Norm,1Fam,1.5Fin,5,5,30,1995,Gable,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,No,GLQ,732,64,796,Ex,Y,SBrkr,796,566,1,1,1,1,TA,0,Attchd,30.0,Unf,480,Y,40,30,0,0,10,2009,WD,Normal,143000,6810
20,RL,75.0,10084,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,1Story,8,5,19,2005,Gable,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,Av,GLQ,1369,317,1686,Ex,Y,SBrkr,1694,0,1,2,0,3,Gd,1,Attchd,19.0,RFn,636,Y,255,57,0,0,8,2007,WD,Normal,307000,11858
60,RL,69.0,10382,Pave,IR1,Lvl,Corner,Gtl,NWAmes,PosN,1Fam,2Story,7,6,50,1973,Gable,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,Mn,ALQ,859,216,1107,Ex,Y,SBrkr,1107,983,1,2,1,3,TA,2,Attchd,50.0,RFn,484,Y,235,204,228,0,11,2009,WD,Normal,200000,14630
50,RM,51.0,6120,Pave,Reg,Lvl,Inside,Gtl,OldTown,Artery,1Fam,1.5Fin,7,5,92,1950,Gable,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,No,Unf,0,952,952,Gd,Y,FuseF,1022,752,0,2,0,2,TA,2,Detchd,92.0,Unf,468,Y,90,0,205,0,4,2008,WD,Abnorml,129900,14192
190,RL,50.0,7420,Pave,Reg,Lvl,Corner,Gtl,BrkSide,Artery,2fmCon,1.5Unf,5,6,84,1950,Gable,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,No,GLQ,851,140,991,Ex,Y,SBrkr,1077,0,1,1,0,2,TA,2,Attchd,84.0,RFn,205,Y,0,4,0,0,1,2008,WD,Normal,118000,5385
20,RL,70.0,11200,Pave,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,5,58,1965,Hip,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,No,Rec,906,134,1040,Ex,Y,SBrkr,1040,0,1,1,0,3,TA,0,Detchd,58.0,Unf,384,Y,0,0,0,0,2,2008,WD,Normal,129500,5200
60,RL,85.0,11924,Pave,IR1,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,2Story,9,5,18,2006,Hip,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,No,GLQ,998,177,1175,Ex,Y,SBrkr,1182,1142,1,3,0,4,Ex,2,BuiltIn,18.0,Fin,736,Y,147,21,0,0,7,2006,New,Partial,345000,25564
20,RL,69.0,12968,Pave,IR2,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,6,61,1962,Hip,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,No,ALQ,737,175,912,TA,Y,SBrkr,912,0,1,1,0,2,TA,0,Detchd,61.0,Unf,352,Y,140,0,0,176,9,2008,WD,Normal,144000,3648
20,RL,91.0,10652,Pave,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,7,5,17,2007,Gable,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,Av,Unf,0,1494,1494,Ex,Y,SBrkr,1494,0,0,2,0,3,Gd,1,Attchd,17.0,RFn,840,Y,160,33,0,0,8,2007,New,Partial,279500,10458
20,RL,69.0,10920,Pave,IR1,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,6,5,63,1960,Hip,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,No,BLQ,733,520,1253,TA,Y,SBrkr,1253,0,1,1,1,2,TA,1,Attchd,63.0,RFn,352,Y,0,213,176,0,5,2008,WD,Normal,157000,6265
45,RM,51.0,6120,Pave,Reg,Lvl,Corner,Gtl,BrkSide,Norm,1Fam,1.5Unf,7,8,94,2001,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,No,Unf,0,832,832,Ex,Y,FuseA,854,0,0,1,0,2,TA,0,Detchd,32.0,Unf,576,Y,48,112,0,0,7,2007,WD,Normal,132000,4270
20,RL,69.0,11241,Pave,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,6,7,53,1970,Gable,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,No,ALQ,578,426,1004,Ex,Y,SBrkr,1004,0,1,1,0,2,TA,1,Attchd,53.0,Fin,480,Y,0,0,0,0,3,2010,WD,Normal,149000,5020
