,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,MoSold,YrSold,SaleType,SaleCondition,SalePrice,RoomsAndArea
0,60,RL,65.0,8450,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,7,5,20,2003,Gable,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,No,GLQ,706,150,856,Ex,Y,SBrkr,856,854,1,2,1,3,Gd,0,Attchd,20.0,RFn,548,Y,0,61,0,0,2,2008,WD,Normal,208500,13680
1,20,RL,80.0,9600,Pave,Reg,Lvl,FR2,Gtl,Veenker,Feedr,1Fam,1Story,6,8,47,1976,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,Gd,ALQ,978,284,1262,Ex,Y,SBrkr,1262,0,0,2,0,3,TA,1,Attchd,47.0,RFn,460,Y,298,0,0,0,5,2007,WD,Normal,181500,7572
2,60,RL,68.0,11250,Pave,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,7,5,22,2002,Gable,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,Mn,GLQ,486,434,920,Ex,Y,SBrkr,920,866,1,2,1,3,Gd,1,Attchd,22.0,RFn,608,Y,0,42,0,0,9,2008,WD,Normal,223500,10716
3,70,RL,60.0,9550,Pave,IR1,Lvl,Corner,Gtl,Crawfor,Norm,1Fam,2Story,7,5,108,1970,Gable,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,No,ALQ,216,540,756,Gd,Y,SBrkr,961,756,1,1,0,3,Gd,1,Detchd,25.0,Unf,642,Y,0,35,272,0,2,2006,WD,Abnorml,140000,12019
4,60,RL,84.0,14260,Pave,IR1,Lvl,FR2,Gtl,NoRidge,Norm,1Fam,2Story,8,5,23,2000,Gable,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,Av,GLQ,655,490,1145,Ex,Y,SBrkr,1145,1053,1,2,1,4,Gd,1,Attchd,23.0,RFn,836,Y,192,84,0,0,12,2008,WD,Normal,250000,19782
5,50,RL,85.0,14115,Pave,IR1,Lvl,Inside,Gtl,Mitchel,Norm,1Fam,1.5Fin,5,5,30,1995,Gable,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,No,GLQ,732,64,796,Ex,Y,SBrkr,796,566,1,1,1,1,TA,0,Attchd,30.0,Unf,480,Y,40,30,0,0,10,2009,WD,Normal,143000,6810
6,20,RL,75.0,10084,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,1Story,8,5,19,2005,Gable,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,Av,GLQ,1369,317,1686,Ex,Y,SBrkr,1694,0,1,2,0,3,Gd,1,Attchd,19.0,RFn,636,Y,255,57,0,0,8,2007,WD,Normal,307000,11858
7,60,RL,69.0,10382,Pave,IR1,Lvl,Corner,Gtl,NWAmes,PosN,1Fam,2Story,7,6,50,1973,Gable,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,Mn,ALQ,859,216,1107,Ex,Y,SBrkr,1107,983,1,2,1,3,TA,2,Attchd,50.0,RFn,484,Y,235,204,228,0,11,2009,WD,Normal,200000,14630
8,50,RM,51.0,6120,Pave,Reg,Lvl,Inside,Gtl,OldTown,Artery,1Fam,1.5Fin,7,5,92,1950,Gable,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,No,Unf,0,952,952,Gd,Y,FuseF,1022,752,0,2,0,2,TA,2,Detchd,92.0,Unf,468,Y,90,0,205,0,4,2008,WD,Abnorml,129900,14192
9,190,RL,50.0,7420,Pave,Reg,Lvl,Corner,Gtl,BrkSide,Artery,2fmCon,1.5Unf,5,6,84,1950,Gable,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,No,GLQ,851,140,991,Ex,Y,SBrkr,1077,0,1,1,0,2,TA,2,Attchd,84.0,RFn,205,Y,0,4,0,0,1,2008,WD,Normal,118000,5385
10,20,RL,70.0,11200,Pave,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,5,58,1965,Hip,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,No,Rec,906,134,1040,Ex,Y,SBrkr,1040,0,1,1,0,3,TA,0,Detchd,58.0,Unf,384,Y,0,0,0,0,2,2008,WD,Normal,129500,5200
11,60,RL,85.0,11924,Pave,IR1,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,2Story,9,5,18,2006,Hip,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,No,GLQ,998,177,1175,Ex,Y,SBrkr,1182,1142,1,3,0,4,Ex,2,BuiltIn,18.0,Fin,736,Y,147,21,0,0,7,2006,New,Partial,345000,25564
12,20,RL,69.0,12968,Pave,IR2,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,6,61,1962,Hip,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,No,ALQ,737,175,912,TA,Y,SBrkr,912,0,1,1,0,2,TA,0,Detchd,61.0,Unf,352,Y,140,0,0,176,9,2008,WD,Normal,144000,3648
13,20,RL,91.0,10652,Pave,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,7,5,17,2007,Gable,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,Av,Unf,0,1494,1494,Ex,Y,SBrkr,1494,0,0,2,0,3,Gd,1,Attchd,17.0,RFn,840,Y,160,33,0,0,8,2007,New,Partial,279500,10458
14,20,RL,69.0,10920,Pave,IR1,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,6,5,63,1960,Hip,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,No,BLQ,733,520,1253,TA,Y,SBrkr,1253,0,1,1,1,2,TA,1,Attchd,63.0,RFn,352,Y,0,213,176,0,5,2008,WD,Normal,157000,6265
15,45,RM,51.0,6120,Pave,Reg,Lvl,Corner,Gtl,BrkSide,Norm,1Fam,1.5Unf,7,8,94,2001,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,No,Unf,0,832,832,Ex,Y,FuseA,854,0,0,1,0,2,TA,0,Detchd,32.0,Unf,576,Y,48,112,0,0,7,2007,WD,Normal,132000,4270
16,20,RL,69.0,11241,Pave,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,6,7,53,1970,Gable,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,No,ALQ,578,426,1004,Ex,Y,SBrkr,1004,0,1,1,0,2,TA,1,Attchd,53.0,Fin,480,Y,0,0,0,0,3,2010,WD,Normal,149000,5020
17,90,RL,72.0,10791,Pave,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Duplex,1Story,4,5,56,1967,Gable,MetalSd,MetalSd,None,0.0,TA,TA,Slab,TA,No,Unf,0,0,0,TA,Y,SBrkr,1296,0,0,2,0,2,TA,0,CarPort,56.0,Unf,516,Y,0,0,0,0,10,2006,WD,Normal,90000,7776
18,20,RL,66.0,13695,Pave,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,1Fam,1Story,5,5,19,2004,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,No,GLQ,646,468,1114,Ex,Y,SBrkr,1114,0,1,1,1,3,Gd,0,Detchd,19.0,Unf,576,Y,0,102,0,0,6,2008,WD,Normal,159000,6684
19,20,RL,70.0,7560,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,65,1965,Hip,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,No,LwQ,504,525,1029,TA,Y,SBrkr,1339,0,0,1,0,3,TA,0,Attchd,65.0,Unf,294,Y,0,0,0,0,5,2009,COD,Abnorml,139000,8034
20,60,RL,101.0,14215,Pave,IR1,Lvl,Corner,Gtl,NridgHt,Norm,1Fam,2Story,8,5,18,2006,Gable,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,Av,Unf,0,1158,1158,Ex,Y,SBrkr,1158,1218,0,3,1,4,Gd,1,BuiltIn,18.0,RFn,853,Y,240,154,0,0,11,2006,New,Partial,325300,21384
21,45,RM,57.0,7449,Pave,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,1Fam,1.5Unf,7,7,93,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,No,Unf,0,637,637,Ex,Y,FuseF,1108,0,0,1,0,3,Gd,1,Attchd,93.0,Unf,280,N,0,0,205,0,6,2007,WD,Normal,139400,6648
22,20,RL,75.0,9742,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,8,5,21,2002,Hip,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,No,Unf,0,1777,1777,Ex,Y,SBrkr,1795,0,0,2,0,3,Gd,1,Attchd,21.0,RFn,534,Y,171,159,0,0,9,2008,WD,Normal,230000,12565
23,120,RM,44.0,4224,Pave,Reg,Lvl,Inside,Gtl,MeadowV,Norm,TwnhsE,1Story,5,7,47,1976,Gable,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,No,GLQ,840,200,1040,TA,Y,SBrkr,1060,0,1,1,0,3,TA,1,Attchd,47.0,Unf,572,Y,100,110,0,0,6,2007,WD,Normal,129900,6360
24,20,RL,69.0,8246,Pave,IR1,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,8,55,2001,Gable,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,Mn,Rec,188,204,1060,Ex,Y,SBrkr,1060,0,1,1,0,3,Gd,1,Attchd,55.0,Unf,270,Y,406,90,0,0,5,2010,WD,Normal,154000,6360
25,20,RL,110.0,14230,Pave,Reg,Lvl,Corner,Gtl,NridgHt,Norm,1Fam,1Story,8,5,16,2007,Gable,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,No,Unf,0,1566,1566,Ex,Y,SBrkr,1600,0,0,2,0,3,Gd,1,Attchd,16.0,RFn,890,Y,0,56,0,0,7,2009,WD,Normal,256300,11200
26,20,RL,60.0,7200,Pave,Reg,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,5,7,72,2000,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,Mn,BLQ,234,180,900,TA,Y,SBrkr,900,0,0,1,0,3,Gd,0,Detchd,18.0,Unf,576,Y,222,32,0,0,5,2010,WD,Normal,134800,4500
27,20,RL,98.0,11478,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,1Story,8,5,16,2008,Gable,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,No,GLQ,1218,486,1704,Ex,Y,SBrkr,1704,0,1,2,0,3,Gd,1,Attchd,15.0,RFn,772,Y,0,50,0,0,5,2010,WD,Normal,306000,11928
28,20,RL,47.0,16321,Pave,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,5,6,66,1997,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,Gd,BLQ,1277,207,1484,TA,Y,SBrkr,1600,0,1,1,0,2,TA,2,Attchd,66.0,RFn,319,Y,288,258,0,0,12,2006,WD,Normal,207500,9600
